Counts
0
0
0
83
3
0
0
3
2823
3601
0
0
175
0
34
0
0
1
1126
14
274
452
4
159
21
2564
11734
7831
362
88
4
88
19371
12311
0
4584
0
2
752
0
0
0
6
38
130
14652
4943
122
3
8129
18
210
3664
3455
4751
2573
26
2065
2818
57427
6289
44245
63
33
0
0
62
3278
239
1939
4041
328
29548
549
0
2632
2958
6655
16078
3655
89
6336
11
1449
422
3072
16769
210
11
131
15
0
3
11
1666
30
156
26233
1
2120
396
15760
3607
37
11
0
1049
2
106
3
83
1
1857
2
3
187
0
0
0
792
868
0
2
193
1
868
25
3266
1548
38
0
0
2276
0
3986
6273
30
2884
400
2454
82
0
0
0
0
0
3
0
0
0
525
333
191
174428
142
12365
6946
61
0
797
3704
188
31
31
0
549
936
2264
5
900
5000
2554
2370
1639
0
29
48617
5
0
0
2
3
3
11098
1575
4
0
167
65137
3370
93
3
0
149
12251
13
0
102893
195
0
0
47
331
475
962
0
2745
1052
0
2862
1292
328
0
577
8907
0
7403
1
6172
2235
256
3999
9886
7189
36
57
2037
104
7452
3
1611
8848
12
50
7805
1
1
76
24393
2654
36
192
3557
0
3
1815
15
1
8547
2051
626
7457
93
4472
438
0
9848
2426
29
125069
73053
4668
10049
8655
1742
8
195
2668
0
4183
38
0
0
0
0
0
0
0
4
0
0
0
0
0
0
0
0
1
1
0
0
0
0
0
0
0
0
0
0
0
0
193
1
1959
0
3872
0
0
1275
179
2323
1
72
5
0
7
2012
2
3
10
1306
3369
0
102
26
3344
0
2
7006
0
157
21
0
16482
3000
2209
5334
1963
7
0
127818
150
173
416
1426
10
7
0
227
399
2063
9148
8
4503
84
184
4
3
0
1787
3
0
0
0
0
0
953
0
0
3
895
70
15354
0
3127
13245
145
31
0
10
0
0
0
0
0
2964
1947
0
1
0
6
0
0
27
0
0
0
2546
370
11305
868
2014
5012
41
8527
1559
31350
0
40343
0
2873
0
135
0
0
1009
0
81
137
1
0
0
1
74
35
0
0
0
2
0
3117
2803
364
153
12144
122
11116
34
52
0
13897
8289
9811
45
7
0
488
134
0
608
6716
41
14304
5
5
77
501
43109
3
136
1436
22
0
0
1
1950
0
0
10
6008
1
14456
30
887
19338
3279
1904
214
14352
2070
169
27
61731
6
496242
5537
1318
7068
5783
3961
3157
1575
5
0
9566
17187
1
25
0
3
230
0
0
4
733
3345
1376
161
41
22560
30448
44
0
3
3
11
14446
10100
138
5
21333
69
3149
1350
43
11914
1282
5502
0
79
15357
0
249
8
576
65241
1181
872
37
13173
561
1830
16
22
8643
186
3
1073
77062
997
1
16
0
78
2891
1
50779
421
88
14027
732
1338
2
2635
0
1304
19496
79
17
1443
326
0
1219
1
3146
3005
388
420
65
6
88
20173
2
139
4913
1
3
2436
0
1374
5240
4167
0
55
5637
212
0
861
1990
15
17393
92404
77
0
3213
575
6016
1441
4018
1221
5855
234
53
9
1974
11465
22
9
2430
715
0
13215
3376
0
947
0
0
0
0
0
0
58
130
252
0
236
0
5865
12516
53
4329
12571
12
66728
2394
0
0
2039
29
8491
8
13
3861
8564
2
2303
9
23
37478
0
25760
51
1613
10131
4651
18410
97
334
10
3353
24111
139
11
4081
46715
0
87
730
6627
0
721
2219
7340
12985
2081
6
1465
8237
3395
2512
65
3237
1453
1
11606
537
245
3445
21
0
2
5731
0
221
97
0
0
0
11008
6
0
0
19
1628
0
48
23
3
1641
941
26220
5932
1
7057
1474
18
34
19835
1546
2509
0
2627
3361
34
7387
0
38
4512
9
15406
13007
17295
209
7712
391
3327
15385
893
15761
84
0
9
0
351
1052
11926
1002
1651
3328
14
1545
1152
20
296
0
2831
47889
2070
760
1
4734
3527
7341
56
11
0
0
4993
674
3105
3
0
30
18576
139733
33981
0
8
179
14983
0
210
1
4
6
5159
5
20
0
1885
108
20
164
20018
3271
2670
3
1653
2828
85
2323
239
183
36
805
0
3
2175
1048
0
337
8704
28
9714
0
2329
15
19
4535
133
474
0
149
1032
0
0
6
4696
2311
145
7441
632
4267
65
241405
2
3428
5819
0
2
13286
1093
179
890
4746
664
64
12799
150
81
3
1215
3
61
3135
4132
6696
1
1637
11
5105
47
5562
2825
105
1729
3
86
93
1807
1581
38988
5807
1013
478
500
5
0
3922
12049
3296
1855
83
1137
10
420393
69
1470
19
154
140
2725
720
11424
346
21
94
709
986
330
90
528
198452
18984
17353
72
5360
3185
1112
3053
2031
